"","name","info","point","value"
"95","
                城南旧事

                
                   : 纪念普及版 
              ","林海音 文 / 中国青年出版社 / 2003-7 / 16.00元",9,"(
                    51546人评价
                )"
"96","
                鬼吹灯之精绝古城

                
              ","天下霸唱 / 安徽文艺出版社 / 2006 / 25.00元",8.1,"(
                    56248人评价
                )"
"97","
                我不喜欢这世界，我只喜欢你

                
              ","乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元",8,"(
                    54807人评价
                )"
"98","
                阿Q正传

                
              ","鲁迅 著 / 上海书店出版社 / 2003-7 / 14.50元",8.7,"(
                    50356人评价
                )"
"99","
                这些都是你给我的爱

                
              ","文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元",8.4,"(
                    53186人评价
                )"
"100","
                半生缘

                
              ","张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元",8.6,"(
                    51572人评价
                )"
"101","
                华胥引（全二册）

                
              ","唐七公子 / 现代出版社 / 2011-1 / 39.80元",8.4,"(
                    53838人评价
                )"
"102","
                这些人，那些事

                
              ","吴念真 / 译林出版社 / 2011-9 / 28.00元",8.8,"(
                    49694人评价
                )"
"103","
                陪安东尼度过漫长岁月

                
              ","安东尼 / 长江文艺出版社 / 2008-3 / 18.00",8.3,"(
                    53247人评价
                )"
"104","
                喜宝

                
              ","亦舒 / 新世界出版社 / 2007-2 / 22.00元",8,"(
                    54292人评价
                )"
"105","
                梦里花落知多少

                
              ","三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元",8.8,"(
                    48202人评价
                )"
"106","
                射雕英雄传（全四册）

                
              ","金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元",8.9,"(
                    46162人评价
                )"
"107","
                一只特立独行的猪

                
              ","王小波 / 北方文艺出版社 / 2006-4 / 18.80元",8.8,"(
                    46944人评价
                )"
"108","
                一个人的朝圣

                
              ","【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80",8.1,"(
                    51047人评价
                )"
"109","
                朝花夕拾

                
              ","鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元",8.7,"(
                    45613人评价
                )"
"110","
                如何阅读一本书

                
              ","[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元",8.4,"(
                    48126人评价
                )"
"111","
                格林童话全集

                
              ","[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元",9,"(
                    43688人评价
                )"
"112","
                孩子你慢慢来

                
              ","龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元",8.8,"(
                    43460人评价
                )"
"113","
                地下铁

                
              ","幾米 / 辽宁教育出版社 / 2002-2 / 32.00元",8.3,"(
                    45448人评价
                )"
"114","
                杀死一只知更鸟

                
              ","[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元",9.2,"(
                    40205人评价
                )"
"115","
                海底两万里

                
              ","[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元",8.4,"(
                    43418人评价
                )"
"116","
                麦琪的礼物

                
                   : 欧·亨利短篇小说经典 
              ","[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元",8.6,"(
                    42061人评价
                )"
"117","
                刀锋

                
              ","[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元",9,"(
                    40098人评价
                )"
"118","
                步步惊心

                
              ","桐华 / 民族出版社 / 2006-6 / 25.00元",8.1,"(
                    44093人评价
                )"
"119","
                孤独六讲

                
              ","蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元",8.1,"(
                    44316人评价
                )"
"120","
                你今天真好看

                
              ","[美]莉兹<U+2022>克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元",8.7,"(
                    40512人评价
                )"
"121","
                月亮忘記了

                
              ","幾米 / 格林 / 2000-2-1 / NT$ 299",8.6,"(
                    40937人评价
                )"
"122","
                菊与刀

                
                   : 日本文化的类型 
              ","（美）鲁思<U+30FB>本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00",8.2,"(
                    43337人评价
                )"
"123","
                此间的少年

                
              ","江南 / 华文出版社 / 2004-1 / 25.00元",8.4,"(
                    41868人评价
                )"
"124","
                查令十字街84号

                
              ","[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元",8.3,"(
                    41720人评价
                )"
"125","
                尘埃落定

                
              ","阿来 / 人民文学出版社 / 1998-3-1 / 22.0",8.4,"(
                    40339人评价
                )"
"126","
                流浪地球

                
                   : 刘慈欣获奖作品 
              ","刘慈欣 / 湖北长江出版集团，长江文艺出版社 / 2008-11 / 28.00元",8.6,"(
                    40339人评价
                )"
"127","
                球状闪电

                
              ","刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元",8.7,"(
                    38402人评价
                )"
"128","
                那些回不去的年少时光

                
              ","桐华 / 江苏文艺出版社 / 2010-01 / 23.80元",8.4,"(
                    38935人评价
                )"
"129","
                金锁记

                
              ","张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元",8.5,"(
                    38792人评价
                )"
"130","
                荆棘鸟

                
              ","[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元",8.6,"(
                    38202人评价
                )"
"131","
                哭泣的骆驼

                
              ","三毛 / 哈尔滨出版社 / 2003-6 / 15.80元",8.9,"(
                    36409人评价
                )"
"132","
                悲惨世界（上中下）

                
              ","[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元",8.9,"(
                    36196人评价
                )"
"133","
                一個人住第5年

                
              ","高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220",8.4,"(
                    38633人评价
                )"
"134","
                富爸爸，穷爸爸

                
              ","（美）罗伯特<U+30FB>T<U+30FB>清崎 / 杨君，杨明 / 世界图书出版公司 / 2000-09 / 18.80",8.2,"(
                    38966人评价
                )"
"135","
                雷雨

                
              ","曹禺 / 人民文学出版社 / 1999-05 / 9.20",8.6,"(
                    37554人评价
                )"
"136","
                寻路中国

                
                   : 从乡村到工厂的自驾之旅 
              ","[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元",9,"(
                    35409人评价
                )"
"137","
                水浒传（全二册）

                
              ","[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元",8.6,"(
                    36672人评价
                )"
"138","
                飞鸟集

                
              ","[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元",8.9,"(
                    35820人评价
                )"
"139","
                史蒂夫·乔布斯传

                
              ","[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元",8.7,"(
                    36381人评价
                )"
"140","
                常识

                
              ","梁文道 / 广西师范大学出版社 / 2009-1 / 38.00",8.1,"(
                    39539人评价
                )"
"141","
                鹿鼎记（全五册）

                
              ","金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元",8.8,"(
                    35377人评价
                )"
"142","
                海贼王

                
                   : ONE PIECE 
              ","尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元",9.5,"(
                    32485人评价
                )"
"143","
                西游记（全二册）

                
              ","吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元",8.8,"(
                    34764人评价
                )"
"144","
                倚天屠龙记(共四册)

                
              ","金庸 / 三联书店 / 1999-04 / 47.00",8.6,"(
                    35867人评价
                )"
"145","
                你好，旧时光（上 下）

                
              ","八月长安 / 新世界出版社 / 2009-12 / 39.80元",8.8,"(
                    35033人评价
                )"
"146","
                狂人日记

                
              ","鲁迅 / 京华出版社 / 2006-3 / 39.80元",8.7,"(
                    34665人评价
                )"
"147","
                时间旅行者的妻子

                
              ","[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元",8.1,"(
                    38293人评价
                )"
"148","
                长恨歌

                
              ","王安忆 / 南海出版公司 / 2003-8 / 22.00元",8.2,"(
                    37480人评价
                )"
"149","
                东霓

                
              ","笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元",8.1,"(
                    37969人评价
                )"
"150","
                最好的我们

                
              ","八月长安 / 湖南文艺出版社 / 2013-8-5 / 55",8.8,"(
                    33858人评价
                )"
"151","
                瓦尔登湖

                
              ","[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元",8.4,"(
                    36050人评价
                )"
"152","
                我与地坛

                
                   : 史铁生代表作 
              ","史铁生 / 春风文艺出版社 / 2002-5 / 25.00元",9,"(
                    32870人评价
                )"
"153","
                时间简史

                
                   : 插图本 
              ","[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元",8.8,"(
                    33661人评价
                )"
"154","
                伊豆的舞女

                
              ","[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元",8.2,"(
                    36781人评价
                )"
"155","
                你一定爱读的极简欧洲史

                
                   : 为什么欧洲对现代文明的影响这么深 
              ","约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元",8.2,"(
                    36787人评价
                )"
"156","
                失恋33天

                
                   : 小说，或是指南 
              ","鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元",8.1,"(
                    37544人评价
                )"
"157","
                呼兰河传

                
                   : 1947年版本<U+30FB>原版珍藏 
              ","萧红 / 百花文艺出版社 / 2005-01 / 19.00",8.9,"(
                    33069人评价
                )"
"158","
                红与黑

                
              ","[法] 司汤达 / 张冠尧 / 人民文学出版社 / 2002 / 20.00元",8.2,"(
                    35464人评价
                )"
"159","
                历史深处的忧虑

                
                   : 近距离看美国之一 
              ","林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元",9,"(
                    31815人评价
                )"
"160","
                中国历代政治得失

                
              ","钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元",9.1,"(
                    30982人评价
                )"
"161","
                夏洛的网

                
              ","[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元",8.6,"(
                    33143人评价
                )"
"162","
                陆犯焉识

                
              ","严歌苓 / 作家出版社 / 2011-10 / 35.00元",8.8,"(
                    31725人评价
                )"
"163","
                我的天才女友

                
                   : 那不勒斯四部曲-01 
              ","[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元",8.5,"(
                    33066人评价
                )"
"164","
                一九八四·动物农场

                
              ","[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元",9.3,"(
                    29928人评价
                )"
"165","
                大地之灯

                
              ","七堇年 / 长江文艺出版社 / 2007-1 / 22.00元",8.2,"(
                    34266人评价
                )"
"166","
                影响力

                
              ","[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元",8.6,"(
                    31718人评价
                )"
"167","
                匆匆那年（上下）

                
              ","九夜茴 / 东方出版社 / 2008-1 / 29.00",8.3,"(
                    33575人评价
                )"
"168","
                人生

                
              ","路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元",8.4,"(
                    31791人评价
                )"
"169","
                橙

                
                   : 陪安东尼度过漫长岁月 Ⅱ 
              ","安东尼 / 长江文艺出版社 / 2010-10 / 28.80元",8.2,"(
                    33322人评价
                )"
"170","
                香水

                
                   : 一个谋杀犯的故事 
              ","[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元",8.5,"(
                    31774人评价
                )"
"171","
                自控力

                
                   : 斯坦福大学最受欢迎心理学课程 
              ","[美]  凯利·麦格尼格尔 / 王岑卉 / 文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元",8.3,"(
                    32909人评价
                )"
"172","
                世界尽头与冷酷仙境

                
              ","[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元",8.6,"(
                    31505人评价
                )"
"173","
                冰与火之歌（卷一）

                
                   : 权力的游戏 
              ","[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元",9.3,"(
                    28340人评价
                )"
"174","
                看不见的城市

                
              ","[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元",8.8,"(
                    30222人评价
                )"
"175","
                那些年，我们一起追的女孩

                
              ","九把刀 / 花山文艺出版社 / 2007-1 / 20.00元",8.2,"(
                    32844人评价
                )"
"176","
                变形记

                
                   : 卡夫卡小说 
              ","[奥] 卡夫卡 / 叶廷芳 / 浙江文艺出版社 / 2003-4 / 16.00元",8.4,"(
                    31311人评价
                )"
"177","
                江城

                
              ","[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元",9,"(
                    29140人评价
                )"
"178","
                把时间当作朋友

                
                   : 运用心智获得解放 
              ","李笑来 / 电子工业出版社 / 2009-6 / 32.00元",8.4,"(
                    31137人评价
                )"
"179","
                阿狸·梦之城堡

                
              ","hans / 上海锦绣文章出版社 / 2009-1 / 36.80元",9,"(
                    28476人评价
                )"
